iso_code,continent,location,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,total_tests,total_tests_per_thousand,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,hospital_beds_per_thousand,life_expectancy,human_development_index,Wellcome Global Monitor Trust in Scientists Index (recoded into 3 categories) High Trust,"Q11E How much do you trust each of the following? How about doctors and nurses in this country? Do you trust them a lot, some, not much, or not at all? A lot","Q11B How much do you trust each of the following? How about the national government in this country? Do you trust them a lot, some, not much, or not at all? A lot"
AFG,Asia,Afghanistan,45616,1752,1171.794,45.006,0,0,38928341,54.422,18.6,2.581,1.337,1803.987,597.029,9.59,0.5,64.83,0.498,0.10401735,0.430347676,0.180723105
ALB,Europe,Albania,36245,771,12594.69,267.913,0,0,2877800,104.871,38,13.188,8.643,11803.431,304.195,10.08,2.89,78.57,0.785,0.10207995,0.274931722,0.149998516
DZA,Africa,Algeria,79110,2352,1804.062,53.636,0,0,43851043,17.348,29.1,6.211,3.857,13913.839,278.364,6.73,1.9,76.88,0.754,0.047079151,0.198365922,0.108691446
AND,Europe,Andorra,6610,76,85549.731,983.628,0,0,77265,163.755,46.2,17.4,17.4,42030,109.135,7.97,2.5,83.73,0.858,0.047079151,0.198365922,0.108691446
AGO,Africa,Angola,14821,340,450.949,10.345,0,0,32866268,23.89,16.8,2.405,1.362,5819.495,276.045,3.94,2.5,61.15,0.581,0.047079151,0.198365922,0.108691446
ATG,North America,Antigua and Barbuda,141,4,1439.833,40.846,0,0,97928,231.845,32.1,6.933,4.631,21490.943,191.511,13.17,3.8,77.02,0.78,0.047079151,0.198365922,0.108691446
ARG,South America,Argentina,1407264,38203,31137.068,845.278,0,0,45195777,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,5,76.67,0.825,0.207100559,0.511716523,0.086630996
ARM,Asia,Armenia,133594,2121,45083.851,715.772,0,0,2963234,102.931,35.7,11.232,7.571,8787.58,341.01,7.11,4.2,75.09,0.755,0.05908434,0.155184658,0.316051928
AUS,Oceania,Australia,27874,907,1093.103,35.569,9872011,387.139,25499881,3.202,37.9,15.504,10.129,44648.71,107.791,5.07,3.84,83.44,0.939,0.334523019,0.653095522,0.067847692
AUT,Europe,Austria,269510,2764,29924.276,306.893,3020862,335.413,9006400,106.749,44.4,19.202,13.748,45436.686,145.183,6.35,7.37,81.54,0.908,0.217151842,0.654411882,0.184031229
AZE,Asia,Azerbaijan,109813,1291,10830.566,127.328,0,0,10139175,119.309,32.4,6.018,3.871,15847.419,559.812,7.11,4.7,73,0.757,0.184621283,0.328230431,0.534392017
BHS,North America,Bahamas,7496,163,19061.763,414.497,0,0,393248,39.497,34.3,8.996,5.2,27717.847,235.954,13.17,2.9,73.92,0.807,0.184621283,0.328230431,0.534392017
BHR,Asia,Bahrain,86515,341,50843.832,200.402,2025774,1190.523,1701583,1935.907,32.4,2.372,1.387,43290.705,151.689,16.52,2,77.29,0.846,0.184621283,0.328230431,0.534392017
BGD,Asia,Bangladesh,458711,6544,2785.31,39.735,2711029,16.461,164689383,1265.036,27.5,5.098,3.262,3523.984,298.003,8.38,0.8,72.59,0.608,0.216325915,0.436373223,0.419932579
BRB,North America,Barbados,270,7,939.552,24.359,0,0,287371,664.463,39.8,14.952,9.473,16978.068,170.05,13.57,5.8,79.19,0.8,0.216325915,0.436373223,0.419932579
BLR,Europe,Belarus,131633,1136,13930.419,120.22,3091238,327.139,9449321,46.858,40.3,14.799,9.788,17167.967,443.129,5.18,11,74.79,0.808,0.067223173,0.181574638,0.130007377
BEL,Europe,Belgium,569546,16243,49142.784,1401.513,5792769,499.824,11589616,375.564,41.8,18.571,12.849,42658.576,114.898,4.29,5.64,81.63,0.916,0.423667807,0.784771478,0.205890079
BLZ,North America,Belize,5587,141,14051.069,354.609,0,0,397621,16.426,25,3.853,2.279,7824.362,176.957,17.11,1.3,74.62,0.708,0.423667807,0.784771478,0.205890079
BEN,Africa,Benin,2974,43,245.315,3.547,0,0,12123198,99.11,18.8,3.244,1.942,2064.236,235.848,0.99,0.5,61.77,0.515,0.13693424,0.227032101,0.205663564
BMU,North America,Bermuda,224,9,3597.065,144.525,0,0,62273,1308.82,43.6,19.74,19.74,50669.315,139.547,13,6.3,82.59,0.981,0.13693424,0.227032101,0.205663564
BTN,Asia,Bhutan,395,0,511.915,0,0,0,771612,21.188,28.6,4.885,2.977,8708.597,217.066,9.75,1.7,71.78,0.612,0.13693424,0.227032101,0.205663564
BOL,South America,Bolivia,144494,8943,12378.45,766.125,357606,30.635,11673029,10.202,25.4,6.704,4.393,6885.829,204.299,6.89,1.1,71.51,0.693,0.05369314,0.180300708,0.148526585
BIH,Europe,Bosnia and Herzegovina,85431,2542,26039.566,774.807,0,0,3280815,68.496,42.5,16.569,10.711,11713.895,329.635,10.08,3.5,77.4,0.768,0.024642455,0.208079231,0.022626747
BWA,Africa,Botswana,9992,31,4248.977,13.182,0,0,2351625,4.044,25.8,3.941,2.242,15807.374,237.372,4.81,1.8,69.59,0.717,0.200807123,0.471145232,0.407586228
BRA,South America,Brazil,6238350,171974,29348.736,809.063,6421441,30.21,212559409,25.04,33.5,8.552,5.06,14103.452,177.961,8.11,2.2,75.88,0.759,0.13189672,0.252656215,0.02643153
BRN,Asia,Brunei,150,3,342.87,6.857,0,0,437483,81.347,32.4,4.591,2.382,71809.251,201.285,12.79,2.7,75.86,0.853,0.13189672,0.252656215,0.02643153
BGR,Europe,Bulgaria,139955,3680,20141.917,529.615,959533,138.093,6948445,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,7.454,75.05,0.813,0.112216443,0.278464069,0.059397445
BFA,Africa,Burkina Faso,2777,68,132.85,3.253,0,0,20903278,70.151,17.6,2.409,1.358,1703.102,269.048,2.42,0.4,61.58,0.423,0.129634296,0.389901639,0.256063594
BDI,Africa,Burundi,677,1,56.935,0.084,0,0,11890781,423.062,17.5,2.562,1.504,702.225,293.068,6.05,0.8,61.58,0.417,0.158938076,0.525427454,0.493485243
KHM,Asia,Cambodia,307,0,18.362,0,0,0,16718971,90.672,25.6,4.412,2.385,3645.07,270.892,4,0.8,69.82,0.582,0.061952923,0.292351772,0.493485243
CMR,Africa,Cameroon,24022,437,904.924,16.462,0,0,26545864,50.885,18.8,3.165,1.919,3364.926,244.661,7.2,1.3,59.29,0.556,0.128914359,0.283155088,0.242700561
CAN,North America,Canada,359064,11894,9513.606,315.138,11169813,295.951,37742157,4.037,41.4,16.984,10.797,44017.591,105.599,7.37,2.5,82.43,0.926,0.281794088,0.611201792,0.152414672
CPV,Africa,Cape Verde,10526,104,18932.063,187.054,0,0,555988,135.58,25.7,4.46,3.437,6222.554,182.219,2.42,2.1,72.98,0.654,0.281794088,0.611201792,0.152414672
CAF,Africa,Central African Republic,4913,63,1017.234,13.044,0,0,4829764,7.479,18.3,3.655,2.251,661.24,435.727,6.1,1,53.28,0.367,0.281794088,0.611201792,0.152414672
TCD,Africa,Chad,1661,101,101.121,6.149,0,0,16425859,11.833,16.7,2.486,1.446,1768.153,280.995,6.1,0.4,54.24,0.404,0.100658256,0.201490872,0.192559512
CHL,South America,Chile,547223,15278,28626.126,799.217,5166772,270.282,19116209,24.282,35.4,11.087,6.938,22767.037,127.993,8.46,2.11,80.18,0.843,0.151782078,0.32369731,0.120858491
CHN,Asia,China,91790,4739,63.773,3.293,160000000,111.163,1439323774,147.674,38.7,10.641,5.929,15308.712,261.899,9.74,4.34,76.91,0.752,0.187716664,0.251407657,0.120858491
COL,South America,Colombia,1290510,36214,25362.36,711.713,4707099,92.508,50882884,44.223,32.2,7.646,4.312,13254.949,124.24,7.44,1.71,77.29,0.747,0.103615875,0.27329448,0.053921442
COM,Africa,Comoros,610,7,701.476,8.05,0,0,869595,437.352,20.4,2.963,1.726,1413.89,261.516,11.88,2.2,64.32,0.503,0.106113942,0.205327954,0.104438654
COG,Africa,Congo,5632,93,1020.643,16.854,0,0,5518092,15.405,19,3.402,2.063,4881.406,344.094,7.2,0.8,64.57,0.606,0.106113942,0.205327954,0.104438654
CRI,North America,Costa Rica,137093,1690,26912.04,331.755,242306,47.566,5094114,96.079,33.6,9.468,5.694,15524.995,137.973,8.78,1.13,80.28,0.794,0.218144166,0.444343544,0.182807663
HRV,Europe,Croatia,119706,1600,29159.119,389.743,724820,176.559,4105268,73.726,44,19.724,13.053,22669.797,253.782,5.59,5.54,78.49,0.831,0.146139881,0.513371268,0.09507479
CUB,North America,Cuba,8110,133,716.013,11.742,1072107,94.654,11326616,110.408,43.1,14.738,9.719,8821,190.968,8.27,5.2,78.8,0.777,0.146139881,0.513371268,0.09507479
CYP,Europe,Cyprus,9983,48,11397.433,54.801,602291,687.626,875899,127.657,37.3,13.416,8.563,32415.132,141.171,9.24,3.4,80.98,0.869,0.1878997,0.284514562,0.141033379
CZE,Europe,Czech Republic,515984,7967,48182.358,743.955,3000834,280.217,10708982,137.176,43.3,19.027,11.58,32605.906,227.485,6.82,6.63,79.38,0.888,0.325723633,0.546688711,0.11789985
COD,Africa,Democratic Republic of Congo,12469,332,139.223,3.707,0,0,89561404,35.879,17,3.02,1.745,808.133,318.949,6.1,0.8,60.68,0.457,0.325723633,0.546688711,0.11789985
DNK,Europe,Denmark,76718,816,13245.047,140.879,6994134,1207.508,5792203,136.52,42.3,19.677,12.325,46682.515,114.767,6.41,2.5,80.9,0.929,0.307030602,0.731508894,0.160969937
DJI,Africa,Djibouti,5676,61,5744.928,61.741,0,0,988002,41.285,25.4,4.213,2.38,2705.406,258.037,6.05,1.4,67.11,0.476,0.307030602,0.731508894,0.160969937
DMA,North America,Dominica,85,0,1180.703,0,0,0,71991,98.567,46.2,12.12,12.12,9673.367,227.376,11.62,3.8,75,0.715,0.307030602,0.731508894,0.160969937
DOM,North America,Dominican Republic,141777,2324,13069.529,214.235,687292,63.357,10847904,222.873,27.6,6.981,4.419,14600.861,266.653,8.2,1.6,74.08,0.736,0.13734003,0.341610058,0.156746386
ECU,South America,Ecuador,189534,13358,10742.694,757.125,588759,33.371,17643060,66.939,28.1,7.104,4.458,10581.936,140.448,5.55,1.5,77.01,0.752,0.076270705,0.28728573,0.107929794
EGY,Africa,Egypt,114832,6608,1122.125,64.573,0,0,102334403,97.999,25.3,5.159,2.891,10550.206,525.432,17.31,1.6,71.99,0.696,0.240193057,0.378542812,0.107929794
SLV,North America,El Salvador,38405,1107,5921.031,170.67,529430,81.624,6486201,307.811,27.6,8.273,5.417,7292.458,167.295,8.87,1.3,73.32,0.674,0.087669836,0.260081276,0.079484798
GNQ,Africa,Equatorial Guinea,5146,85,3667.894,60.585,0,0,1402985,45.194,22.4,2.846,1.752,22604.873,202.812,7.78,2.1,58.74,0.591,0.087669836,0.260081276,0.079484798
ERI,Africa,Eritrea,566,0,159.597,0,0,0,3546427,44.304,19.3,3.607,2.171,1510.459,311.11,6.05,0.7,66.32,0.44,0.087669836,0.260081276,0.079484798
EST,Europe,Estonia,11323,104,8535.746,78.4,464025,349.801,1326539,31.033,42.7,19.452,13.491,29481.252,255.569,4.02,4.69,78.74,0.871,0.20070252,0.334368355,0.10938882
ETH,Africa,Ethiopia,108438,1686,943.238,14.666,1615769,14.055,114963583,104.957,19.8,3.526,2.063,1729.927,182.634,7.47,0.3,66.6,0.463,0.153335448,0.42429441,0.59809355
FJI,Oceania,Fiji,38,2,42.39,2.231,15610,17.413,896444,49.562,28.6,6.224,3.284,8702.975,412.82,14.49,2.3,67.44,0.741,0.153335448,0.42429441,0.59809355
FIN,Europe,Finland,23766,393,4289.336,70.929,1880109,339.326,5540718,18.136,42.8,21.228,13.264,40585.721,153.507,5.76,3.28,81.91,0.92,0.350694245,0.731791554,0.158468191
FRA,Europe,France,2196199,51914,33646.098,795.33,0,0,65273512,122.578,42,19.718,13.079,38605.671,86.06,4.77,5.98,82.66,0.901,0.209001797,0.673081852,0.127053779
GAB,Africa,Gabon,9191,59,4129.435,26.508,0,0,2225728,7.859,23.1,4.45,2.976,16562.413,259.967,7.2,6.3,66.47,0.702,0.085589796,0.204761243,0.04807402
GMB,Africa,Gambia,3731,123,1543.864,50.897,0,0,2416664,207.566,17.5,2.339,1.417,1561.767,331.43,1.91,1.1,62.05,0.46,0.085589796,0.204761243,0.04807402
GEO,Asia,Georgia,127942,1195,32072.296,299.561,0,0,3989175,65.032,38.7,14.864,10.244,9745.079,496.218,7.11,2.6,73.77,0.78,0.054578999,0.219180176,0.083186089
DEU,Europe,Germany,1028089,15965,12270.716,190.55,26456866,315.775,83783945,237.016,46.6,21.453,15.957,45229.245,156.139,8.31,8,81.33,0.936,0.246773634,0.666719572,0.164826829
GHA,Africa,Ghana,51225,323,1648.54,10.395,582707,18.753,31072945,126.719,21.1,3.385,1.948,4227.63,298.245,4.97,0.9,64.07,0.592,0.205028239,0.429550844,0.266112433
GRC,Europe,Greece,101287,2102,9717.591,201.668,2332931,223.824,10423056,83.479,45.3,20.396,14.524,24574.382,175.695,4.55,4.21,82.24,0.87,0.095081726,0.292203299,0.022553382
GRD,North America,Grenada,41,0,364.383,0,0,0,112519,317.132,29.4,7.304,5.021,13593.877,243.964,10.71,3.7,72.4,0.772,0.095081726,0.292203299,0.022553382
GTM,North America,Guatemala,121132,4141,6761.271,231.14,519695,29.008,17915567,157.834,22.9,4.694,3.016,7423.808,155.898,10.18,0.6,74.3,0.65,0.080677434,0.300535273,0.109063389
GIN,Africa,Guinea,13039,76,992.858,5.787,0,0,13132792,51.755,19,3.135,1.733,1998.926,336.717,2.42,0.3,61.6,0.459,0.279101653,0.400263478,0.307531054
GNB,Africa,Guinea-Bissau,2422,43,1230.692,21.85,0,0,1967998,66.191,19.4,3.002,1.565,1548.675,382.474,2.42,1,58.32,0.455,0.279101653,0.400263478,0.307531054
GUY,South America,Guyana,5310,149,6750.924,189.433,0,0,786559,3.952,26.3,5.305,2.837,7435.047,373.159,11.62,1.6,69.91,0.654,0.279101653,0.400263478,0.307531054
HTI,North America,Haiti,9264,232,812.451,20.346,0,0,11402533,398.448,24.3,4.8,2.954,1653.173,430.548,6.65,0.7,64,0.498,0.112707144,0.341106316,0.138438149
HND,North America,Honduras,107134,2899,10816.582,292.692,0,0,9904608,82.805,24.9,4.652,2.883,4541.795,240.208,7.21,0.7,75.27,0.617,0.118924543,0.367636467,0.158993564
HKG,Asia,Hong Kong,0,0,0,0,3994873,532.864,7496988,7039.714,44.8,16.303,10.158,56054.92,505.8,8.33,5.4,84.86,0.933,0.118924543,0.367636467,0.158993564
HUN,Europe,Hungary,204708,4516,21190.537,467.478,1601203,165.75,9660350,108.043,43.4,18.577,11.976,26777.561,278.296,7.55,7.02,76.88,0.838,0.124050064,0.29409572,0.155454946
ISL,Europe,Iceland,5346,26,15665.934,76.19,209334,613.433,341250,3.404,37.3,14.431,9.207,46482.958,117.992,5.31,2.91,82.99,0.935,0.317107336,0.68865295,0.141034653
IND,Asia,India,9351109,136200,6776.144,98.695,135931545,98.501,1380004385,450.419,28.2,5.989,3.414,6426.674,282.28,10.39,0.53,69.66,0.64,0.211423743,0.674883225,0.38895052
IDN,Asia,Indonesia,522581,16521,1910.552,60.401,3729561,13.635,273523621,145.725,29.3,5.319,3.053,11188.744,342.864,6.32,1.04,71.72,0.694,0.082426905,0.246716073,0.189434592
IRN,Asia,Iran,922397,47095,10981.838,560.702,5955724,70.907,83992953,49.831,32.4,5.44,3.182,19082.62,270.308,9.59,1.5,76.68,0.798,0.19150675,0.312558491,0.259354145
IRQ,Asia,Iraq,547215,12167,13604.698,302.492,3319514,82.529,40222503,88.125,20,3.186,1.957,15663.986,218.612,8.83,1.4,70.6,0.685,0.187324176,0.224295634,0.078876789
IRL,Europe,Ireland,71699,2043,14520.446,413.747,1919657,388.768,4937796,69.874,38.7,13.928,8.678,67335.293,126.459,3.28,2.96,82.3,0.938,0.386351556,0.629511341,0.156625761
ISR,Asia,Israel,333802,2839,38565.123,327.998,5536330,639.628,8655541,402.606,30.6,11.733,7.359,33132.32,93.32,6.74,2.99,82.97,0.903,0.263850465,0.476260447,0.201772068
ITA,Europe,Italy,1538217,53677,25441.126,887.783,21188898,350.451,60461828,205.859,47.9,23.021,16.24,35220.084,113.151,4.78,3.18,83.51,0.88,0.165725671,0.267384814,0.082060402
JAM,North America,Jamaica,10600,250,3579.677,84.426,111321,37.594,2961161,266.879,31.4,9.684,6.39,8193.571,206.537,11.28,1.7,74.47,0.732,0.045586968,0.184365199,0.137945009
JPN,Asia,Japan,142068,2074,1123.276,16.398,3137158,24.804,126476458,347.778,48.2,27.049,18.493,39002.223,79.37,5.72,13.05,84.63,0.909,0.114433739,0.256363851,0.038373431
JOR,Asia,Jordan,207601,2570,20346.776,251.883,2435340,238.685,10203140,109.285,23.2,3.81,2.361,8337.49,208.257,11.75,1.4,74.53,0.735,0.157217095,0.318027021,0.325622122
KAZ,Asia,Kazakhstan,171979,2430,9159.167,129.416,4305570,229.304,18776707,6.681,30.6,6.991,4.625,24055.588,466.792,7.11,6.7,73.6,0.8,0.183532093,0.305386255,0.288881018
KEN,Africa,Kenya,81656,1441,1518.58,26.799,843103,15.679,53771300,87.324,20,2.686,1.528,2993.028,218.637,2.92,1.4,66.7,0.59,0.09918012,0.35749643,0.256352672
KWT,Asia,Kuwait,141876,874,33221.849,204.657,1068193,250.129,4270563,232.128,33.7,2.345,1.114,65530.537,132.235,15.84,2,75.49,0.803,0.19850336,0.329110475,0.078996425
